,Average percent identity,Fraction of bases aligned,Mean read length,Mean read quality,Median percent identity,Median read length,Median read quality,Number of reads,Read length N50,STDEV read length,Total bases,Total bases aligned
070424_Jena_7,96.1,1.0,"4,627.0",14.7,97.0,"4,244.0",15.1,"86,007.0","6,689.0","3,577.1","397,950,098.0","378,427,301.0"
240508_Mannheim_239975,98.0,1.0,"5,667.8",18.6,98.6,"5,598.0",19.0,"200,909.0","7,634.0","3,567.7","1,138,721,856.0","1,115,507,757.0"
240627_Jena_13,97.8,1.0,"5,937.4",18.3,98.5,"5,849.0",18.7,"104,573.0","7,318.0","3,208.1","620,890,200.0","603,720,669.0"
W1711312.dorado052,97.3,0.9,"2,740.0",16.8,98.4,"1,342.0",17.2,"51,535.0","5,842.0","2,996.5","141,203,539.0","132,572,730.0"
W1907710.dorado052,97.4,1.0,"3,561.1",16.8,98.1,"2,845.0",17.1,"79,719.0","5,244.0","2,794.3","283,885,022.0","274,425,823.0"
W2314468.dorado052,97.7,1.0,"5,349.8",17.8,98.4,"5,013.0",18.3,"59,107.0","7,427.0","3,549.8","316,212,475.0","309,166,603.0"
E15126.dorado052,97.6,1.0,"4,241.7",17.2,98.3,"3,132.0",17.6,"112,716.0","6,983.0","3,603.7","478,111,892.0","467,198,629.0"
Jena_18A.dorado052,97.3,1.0,"6,604.4",17.2,98.0,"6,452.0",17.5,"74,490.0","7,756.0","3,213.6","491,959,167.0","480,580,276.0"
Jena_9.dorado052,97.4,1.0,"5,433.8",17.1,98.2,"5,292.0",17.7,"74,800.0","7,269.0","3,422.5","406,445,694.0","394,575,746.0"
240226_Jena_8,97.1,1.0,"4,543.8",16.4,97.9,"3,645.0",16.8,"93,584.0","7,193.0","3,561.2","425,225,491.0","411,946,940.0"
190224_E9763,97.7,1.0,"5,364.0",17.9,98.4,"4,985.5",18.3,"106,138.0","7,542.0","3,665.1","569,323,594.0","556,869,378.0"
240515_mannheim_221921,97.8,1.0,"6,791.1",18.2,98.4,"6,603.0",18.6,"125,302.0","7,902.0","3,273.2","850,935,134.0","829,226,363.0"
240311_Jena_12,97.6,1.0,"6,509.3",17.7,98.3,"6,407.0",18.1,"192,292.0","7,995.0","3,478.2","1,251,688,076.0","1,226,587,798.0"
E16023_stop_receiving,97.4,1.0,"4,949.7",17.5,98.0,"4,703.0",17.9,"52,655.0","6,431.0","2,931.0","260,623,891.0","252,543,627.0"
241106_mannheim_221921,98.1,1.0,"6,646.9",19.0,98.7,"6,432.0",19.4,"551,509.0","7,685.0","3,095.9","3,665,802,875.0","3,587,164,645.0"
240711_Jena_48A,97.5,1.0,"7,282.1",17.6,98.2,"7,052.0",18.0,"168,464.0","8,478.0","3,558.8","1,226,777,699.0","1,195,423,541.0"
240520_mannheim_237498,98.0,1.0,"6,463.1",18.9,98.6,"6,319.0",19.4,"404,864.0","7,609.0","3,175.3","2,616,673,232.0","2,558,975,502.0"
240731_E15983,97.7,1.0,"3,097.3",17.7,98.4,"2,564.0",17.9,"182,275.0","4,423.0","2,417.5","564,557,355.0","543,161,859.0"
240501_mannheim_24_1309,98.1,1.0,"7,870.6",19.2,98.7,"7,642.0",19.6,"126,378.0","9,998.0","4,954.8","994,670,497.0","977,812,424.0"
240201_E15983,97.1,1.0,"5,323.8",16.8,98.0,"4,954.0",17.3,"78,452.0","7,157.0","3,387.8","417,664,490.0","406,516,303.0"
230815_W1812155_haem,97.9,0.9,"1,823.2",16.3,98.5,832.0,16.2,"79,024.0","4,187.0","2,319.3","144,074,079.0","135,340,346.0"
E12502_stop_receiving,98.2,1.0,"3,351.9",18.3,98.9,"2,717.0",18.7,"91,424.0","5,214.0","2,654.9","306,441,136.0","293,775,514.0"
